company_name,ratings,reviews,Industry,locations,highly_rated_aspects,critically_rated_aspects
Utkarsh Small Finance Bank,3.6,4.5k,Banking,Varanasi +408 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Hewlett Packard Enterprise,4.1,4.5k,IT Services & Consulting,Bangalore / Bengaluru +104 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Mahindra Logistics,3.7,4.5k,Logistics,Mumbai +233 other locations,,"Promotions / Appraisal, Salary & Benefits"
Aditya Birla Fashion and Retail,4.1,4.5k,Fashion & Textile,Bangalore / Bengaluru +291 other locations,"Job Security, Skill Development / Learning, Company Culture",
L&T Finance,3.9,4.5k,NBFC,Mumbai +635 other locations,Salary & Benefits,Promotions / Appraisal
OPPO,3.9,4.5k,Consumer Electronics & Appliances,Greater Noida +410 other locations,Skill Development / Learning,"Promotions / Appraisal, Job Security"
Dell,3.8,4.5k,Consumer Electronics & Appliances,Bangalore / Bengaluru +117 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
CARS24,3.4,4.5k,Internet,Gurgaon / Gurugram +173 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Havells,3.9,4.4k,Electrical Equipment,Noida +260 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Intas Pharmaceuticals,4.1,4.4k,Pharma,Ahmedabad +148 other locations,"Job Security, Salary & Benefits, Work Life Balance",
R1 RCM,3.8,4.4k,BPO,New Delhi +46 other locations,Job Security,Promotions / Appraisal
Tata AIA Life Insurance,3.9,4.4k,Insurance,Mumbai +442 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Hyundai Motor India Limited,4.1,4.4k,Automobile,Chennai +287 other locations,"Job Security, Salary & Benefits, Company Culture",
Deutsche Bank,3.8,4.3k,Banking,Pune +42 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Hetero,3.9,4.3k,Pharma,Hyderabad / Secunderabad +68 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Motilal Oswal Financial Services,3.7,4.3k,Financial Services,Mumbai +168 other locations,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Berger Paints,3.7,4.3k,Chemicals,Kolkata +354 other locations,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Team Lease,3.9,4.3k,Recruitment,Bangalore / Bengaluru +398 other locations,Work Life Balance,Promotions / Appraisal
VE Commercial Vehicles,3.9,4.2k,Automobile,Indore +179 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Lenskart,3.3,4.2k,Internet,New Delhi +240 other locations,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Thermax Limited,4.2,4.2k,Industrial Machinery,Pune +252 other locations,"Job Security, Company Culture, Skill Development / Learning",
Macleods Pharmaceuticals,3.7,4.1k,Pharma,Mumbai +134 other locations,Job Security,"Promotions / Appraisal, Company Culture"
Bajaj Auto,3.8,4.1k,Automobile,Pune +318 other locations,,Promotions / Appraisal
Aakash Educational Services,3.2,4.1k,Education & Training,New Delhi +244 other locations,,"Promotions / Appraisal, Work Life Balance, Job Security"
Kogta Financial India Limited,4.7,4.1k,NBFC,Jaipur +259 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Jubilant Foods Works,3.7,4.1k,Hospitality,New Delhi +261 other locations,,Promotions / Appraisal
LG Electronics,3.9,4.1k,Consumer Electronics & Appliances,Pune +298 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Royal Enfield,4.2,4k,Automobile,Chennai +372 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
Jindal Steel Limited,3.9,4k,Iron & Steel,Angul +173 other locations,Skill Development / Learning,Promotions / Appraisal
Hindalco Industries,4.2,4k,Metals & Mining,Sambalpur +127 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
John Deere,4.0,4k,Industrial Machinery,Pune +155 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Tata Communications,3.9,4k,Telecom,Pune +102 other locations,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
DCB Bank,3.8,4k,Banking,Mumbai +342 other locations,Work Life Balance,Promotions / Appraisal
HDFC Ergo General Insurance,4.0,4k,Insurance,Mumbai +324 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
State Street Corporation,3.5,3.9k,Financial Services,Bangalore / Bengaluru +35 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
RBL Bank,3.5,3.9k,Banking,Mumbai +284 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Cummins,4.3,3.9k,Industrial Machinery,Pune +114 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Oyo Rooms,3.1,3.9k,Internet,Gurgaon / Gurugram +121 other locations,,"Job Security, Company Culture, Work Life Balance"
Pidilite Industries,4.2,3.8k,Chemicals,Mumbai +313 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Alembic Pharmaceuticals,3.9,3.8k,Pharma,Vadodara +187 other locations,"Salary & Benefits, Work Life Balance",
Bank of America,4.1,3.8k,Banking,Gurgaon / Gurugram +35 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Reliance Communications,4.0,3.8k,Telecom,Mumbai +467 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Carelon Global Solutions,3.9,3.8k,IT Services & Consulting,Bangalore / Bengaluru +21 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
